M_mean,M_variance,M_skewness,M_kurtosis,P_mean,P_variance,P_skewness,P_kurtosis,MFCC_Mean,MFCC_Variance,Delta_Mean,Delta_Variance,DoubleDelta_Mean,DoubleDelta_Variance,Class
0.017336484,0.001079676,3.151662827,12.43979263,0.00138023,2.59E-05,7.735034466,88.19878387,-19.3152771,18746.23438,0.125808075,15.25110912,0.006394565,5.190896034,Human
0.03738888,0.001879847,1.557260871,2.894830704,0.003277774,4.68E-05,5.242305279,57.83294678,-13.39957905,14715.07324,0.008948218,21.87188911,-0.001862329,5.747365952,Human
0.02672161,0.002121988,3.585377216,20.13388252,0.002836032,0.000143186,13.81169605,313.1247559,-18.9369278,13652.76074,-0.009834806,25.85492134,0.00420096,5.507077694,Human
0.026815519,0.001451221,1.716538906,2.850106716,0.002170293,2.46E-05,4.313911438,28.19189835,-19.31885719,19614.11719,0.158203617,10.43910313,-0.009886592,2.060750008,Human
0.03662622,0.007428081,3.952234268,20.3409996,0.008769562,0.001643243,9.828795433,133.1359711,-18.85593224,16169.56641,0.003155179,18.33046341,-0.008073717,4.239438534,Human
0.059801292,0.015308645,3.030705929,11.06555748,0.018884836,0.004654114,6.858011723,61.14646149,-20.34098625,12664.97656,0.113257319,20.3959446,-0.00766461,2.816554546,Human
0.002008512,5.64E-06,2.304688931,8.588439941,9.67E-06,6.76E-10,8.28955555,109.6719742,-32.55793381,33646.58203,0.3093566,9.37005806,-0.015815772,1.132966161,Human
0.003678162,2.14E-05,2.348468304,8.108462334,3.50E-05,9.23E-09,7.666719913,100.1583099,-28.81578827,25678.64063,0.146038204,20.45209503,-0.003427358,4.517541409,AI
0.002381646,1.25E-05,3.635324001,20.01230431,1.82E-05,5.26E-09,11.21196747,189.6371918,-29.71959877,27170.57617,0.194444954,25.21826172,-0.008693651,5.878982544,AI
0.030347804,0.002956748,3.960895061,21.34326553,0.003877737,0.000292272,9.745581627,132.7149353,-21.76281929,11613.75293,0.005433443,44.60416412,-0.011369252,12.25864887,AI
0.046056136,0.009686691,3.276969671,12.0328846,0.01180786,0.001974472,6.035318375,44.27941513,-22.24424744,14382.31934,-0.034178503,21.33505821,-0.014996751,3.074192524,AI
0.023021443,0.003573807,5.140013218,34.03053665,0.004103793,0.000568885,11.38951111,167.98703,-21.59766388,14516.00098,0.003563324,26.92791748,-0.008350742,5.476123333,AI
0.054570723,0.008816702,3.234524488,13.87802124,0.011794666,0.001923796,7.914219856,83.05180359,-15.73317528,10537.46191,-0.005447365,25.6661129,-0.004338545,5.399018288,AI
0.070718132,0.009773102,2.713605642,10.80446339,0.014774155,0.002160131,7.992391109,90.1807251,-16.7775898,11168.68652,0.078752905,55.44009399,-0.005879026,14.66147041,AI
0.026815519,0.001451221,1.716538906,2.850106716,0.002170293,2.46E-05,4.313911438,28.19189835,-19.31885719,19614.11719,0.158203617,10.43910313,-0.009886592,2.060750008,Human
0.03662622,0.007428081,3.952234268,20.3409996,0.008769562,0.001643243,9.828795433,133.1359711,-18.85593224,16169.56641,0.003155179,18.33046341,-0.008073717,4.239438534,Human
0.059801292,0.015308645,3.030705929,11.06555748,0.018884836,0.004654114,6.858011723,61.14646149,-20.34098625,12664.97656,0.113257319,20.3959446,-0.00766461,2.816554546,Human
0.002008512,5.64E-06,2.304688931,8.588439941,9.67E-06,6.76E-10,8.28955555,109.6719742,-32.55793381,33646.58203,0.3093566,9.37005806,-0.015815772,1.132966161,Human
0.003678162,2.14E-05,2.348468304,8.108462334,3.50E-05,9.23E-09,7.666719913,100.1583099,-28.81578827,25678.64063,0.146038204,20.45209503,-0.003427358,4.517541409,AI
0.002381646,1.25E-05,3.635324001,20.01230431,1.82E-05,5.26E-09,11.21196747,189.6371918,-29.71959877,27170.57617,0.194444954,25.21826172,-0.008693651,5.878982544,AI
0.03662622,0.007428081,3.952234268,20.3409996,0.008769562,0.001643243,9.828795433,133.1359711,-18.85593224,16169.56641,0.003155179,18.33046341,-0.008073717,4.239438534,Human
0.059801292,0.015308645,3.030705929,11.06555748,0.018884836,0.004654114,6.858011723,61.14646149,-20.34098625,12664.97656,0.113257319,20.3959446,-0.00766461,2.816554546,Human
0.002008512,5.64E-06,2.304688931,8.588439941,9.67E-06,6.76E-10,8.28955555,109.6719742,-32.55793381,33646.58203,0.3093566,9.37005806,-0.015815772,1.132966161,Human
0.003678162,2.14E-05,2.348468304,8.108462334,3.50E-05,9.23E-09,7.666719913,100.1583099,-28.81578827,25678.64063,0.146038204,20.45209503,-0.003427358,4.517541409,AI
0.002381646,1.25E-05,3.635324001,20.01230431,1.82E-05,5.26E-09,11.21196747,189.6371918,-29.71959877,27170.57617,0.194444954,25.21826172,-0.008693651,5.878982544,AI
0.017336484,0.001079676,3.151662827,12.43979263,0.00138023,2.59E-05,7.735034466,88.19878387,-19.3152771,18746.23438,0.125808075,15.25110912,0.006394565,5.190896034,Human
0.03738888,0.001879847,1.557260871,2.894830704,0.003277774,4.68E-05,5.242305279,57.83294678,-13.39957905,14715.07324,0.008948218,21.87188911,-0.001862329,5.747365952,Human
0.02672161,0.002121988,3.585377216,20.13388252,0.002836032,0.000143186,13.81169605,313.1247559,-18.9369278,13652.76074,-0.009834806,25.85492134,0.00420096,5.507077694,Human
0.026815519,0.001451221,1.716538906,2.850106716,0.002170293,2.46E-05,4.313911438,28.19189835,-19.31885719,19614.11719,0.158203617,10.43910313,-0.009886592,2.060750008,Human
0.03662622,0.007428081,3.952234268,20.3409996,0.008769562,0.001643243,9.828795433,133.1359711,-18.85593224,16169.56641,0.003155179,18.33046341,-0.008073717,4.239438534,Human
0.059801292,0.015308645,3.030705929,11.06555748,0.018884836,0.004654114,6.858011723,61.14646149,-20.34098625,12664.97656,0.113257319,20.3959446,-0.00766461,2.816554546,Human
0.002008512,5.64E-06,2.304688931,8.588439941,9.67E-06,6.76E-10,8.28955555,109.6719742,-32.55793381,33646.58203,0.3093566,9.37005806,-0.015815772,1.132966161,Human
0.003678162,2.14E-05,2.348468304,8.108462334,3.50E-05,9.23E-09,7.666719913,100.1583099,-28.81578827,25678.64063,0.146038204,20.45209503,-0.003427358,4.517541409,AI
0.002381646,1.25E-05,3.635324001,20.01230431,1.82E-05,5.26E-09,11.21196747,189.6371918,-29.71959877,27170.57617,0.194444954,25.21826172,-0.008693651,5.878982544,AI
0.030347804,0.002956748,3.960895061,21.34326553,0.003877737,0.000292272,9.745581627,132.7149353,-21.76281929,11613.75293,0.005433443,44.60416412,-0.011369252,12.25864887,AI
0.046056136,0.009686691,3.276969671,12.0328846,0.01180786,0.001974472,6.035318375,44.27941513,-22.24424744,14382.31934,-0.034178503,21.33505821,-0.014996751,3.074192524,AI
0.023021443,0.003573807,5.140013218,34.03053665,0.004103793,0.000568885,11.38951111,167.98703,-21.59766388,14516.00098,0.003563324,26.92791748,-0.008350742,5.476123333,AI
0.023021443,0.003573807,5.140013218,34.03053665,0.004103793,0.000568885,11.38951111,167.98703,-21.59766388,14516.00098,0.003563324,26.92791748,-0.008350742,5.476123333,AI
0.054570723,0.008816702,3.234524488,13.87802124,0.011794666,0.001923796,7.914219856,83.05180359,-15.73317528,10537.46191,-0.005447365,25.6661129,-0.004338545,5.399018288,AI
0.070718132,0.009773102,2.713605642,10.80446339,0.014774155,0.002160131,7.992391109,90.1807251,-16.7775898,11168.68652,0.078752905,55.44009399,-0.005879026,14.66147041,AI
